team,home_win_rate,away_win_rate
Algeria,0.2,0.16666666666666666
Angola,0.7142857142857143,0.0
Argentina,0.7241379310344828,0.17857142857142858
Australia,0.2857142857142857,0.0
Austria,0.8181818181818182,0.1875
Belgium,0.6818181818181818,0.2222222222222222
Bolivia,0.7142857142857143,0.0
Bosnia-Herzegovina,0.7142857142857143,0.0
Brazil,0.7380952380952381,0.4642857142857143
Bulgaria,0.16666666666666666,0.05555555555555555
Cameroon,0.3333333333333333,0.08333333333333333
Canada,0.0,0.0
Chile,0.6153846153846154,0.05555555555555555
China,0.7142857142857143,0.0
Colombia,0.5714285714285714,0.3076923076923077
Costa Rica,0.14285714285714285,0.3333333333333333
Croatia,0.3333333333333333,0.47368421052631576
Cuba,1.0,0.06666666666666667
Czechia,0.0,0.06666666666666667
Czechoslovakia,0.8888888888888888,0.05263157894736842
Denmark,0.3333333333333333,0.5
Dutch East Indies,,0.06666666666666667
Ecuador,0.5,0.42857142857142855
Egypt,0.7142857142857143,0.0
El Salvador,,0.0
England,0.5897435897435898,0.21212121212121213
FR Yugoslavia,0.7142857142857143,0.5
France,0.7027027027027027,0.35294117647058826
Germany,0.717948717948718,0.6
Germany DR,0.5,0.0
Ghana,0.25,0.4444444444444444
Greece,0.3333333333333333,0.0
Haiti,0.7142857142857143,0.0
Honduras,0.0,0.0
Hungary,0.8235294117647058,0.0
Iceland,0.7142857142857143,0.0
Iran,0.0,0.16666666666666666
Iraq,0.0,0.06666666666666667
Israel,,0.0
Italy,0.6785714285714286,0.24
Ivory Coast,0.5,0.2
Jamaica,0.7142857142857143,1.0
Japan,0.21428571428571427,0.3333333333333333
Kuwait,,0.0
Mexico,0.47058823529411764,0.21951219512195122
Morocco,0.14285714285714285,0.21428571428571427
Netherlands,0.59375,0.47619047619047616
New Zealand,0.7142857142857143,0.0
Nigeria,0.3,0.2222222222222222
North Korea,0.5,0.0
Northern Ireland,0.75,0.0
Norway,0.7142857142857143,0.16666666666666666
Panama,0.7142857142857143,0.0
Paraguay,0.4,0.13333333333333333
Peru,0.8,0.09090909090909091
Poland,0.5789473684210527,0.29411764705882354
Portugal,0.75,0.07692307692307693
Qatar,0.0,0.06666666666666667
Republic of Ireland,0.0,0.2857142857142857
Romania,0.5,0.18181818181818182
Russia,0.6,0.0
Saudi Arabia,0.2857142857142857,0.2
Scotland,0.25,0.15384615384615385
Senegal,0.0,0.5714285714285714
Serbia,0.0,0.5
Serbia and Montenegro,0.7142857142857143,0.0
Slovakia,1.0,0.0
Slovenia,0.0,0.0
South Africa,0.2,0.0
South Korea,0.35294117647058826,0.05263157894736842
Soviet Union,0.7647058823529411,0.08333333333333333
Spain,0.5151515151515151,0.4375
Sweden,0.5517241379310345,0.1
Switzerland,0.4666666666666667,0.25
Togo,0.0,0.06666666666666667
Trinidad & Tobago,0.7142857142857143,0.0
Tunisia,0.3333333333333333,0.1
Turkey,1.0,0.42857142857142855
Ukraine,0.7142857142857143,0.3333333333333333
United Arab Emirates,0.7142857142857143,0.0
United States,0.4,0.15
Uruguay,0.59375,0.24
Wales,0.5,0.0
West Germany,0.6216216216216216,0.4117647058823529
Yugoslavia,0.7333333333333333,0.125
Zaire,0.0,0.06666666666666667
